image,mode,spearman_occ_vs_lime
38eb6939,gray,0.28
38eb6939,mean,0.28
38eb6939,blur,0.429
38eb6939,black,0.381
example1,gray,0.136
example1,mean,0.29
example1,blur,0.363
example1,black,0.42
0f019494,gray,0.39
0f019494,mean,0.432
0f019494,blur,0.449
0f019494,black,0.292
e7361205,gray,0.482
e7361205,mean,0.589
e7361205,blur,0.539
e7361205,black,0.448
047eb1a3,gray,0.398
047eb1a3,mean,0.439
047eb1a3,blur,0.576
047eb1a3,black,0.435
example2,gray,0.508
example2,mean,0.375
example2,blur,0.412
example2,black,0.091
d534420e,gray,0.204
d534420e,mean,0.616
d534420e,blur,0.315
d534420e,black,0.459
