image,method,mode,base_reward,mean_abs_importance,top1_importance,negative_fraction,n_superpixels
38eb6939,occlusion,mean,9.1089,0.239,1.9701,0.4,70
38eb6939,lime,black,9.1089,0.1637,1.6369,0.3714,70
38eb6939,lime,mean,9.1089,0.0912,0.8313,0.4857,70
38eb6939,occlusion,gray,9.1089,0.2482,2.3447,0.4143,70
38eb6939,occlusion,black,9.1089,0.3206,2.7868,0.2857,70
38eb6939,lime,blur,9.1089,0.1022,0.7843,0.3857,70
38eb6939,lime,gray,9.1089,0.0528,0.4375,0.4857,70
38eb6939,occlusion,blur,9.1089,0.1809,1.277,0.3143,70
example1,lime,gray,10.8235,0.0764,0.7483,0.3537,82
example1,lime,black,10.8235,0.2842,3.2838,0.2195,82
example1,occlusion,mean,10.8235,0.1851,3.4813,0.3902,82
example1,lime,blur,10.8235,0.1469,2.3849,0.2683,82
example1,lime,mean,10.8235,0.1078,2.5486,0.3415,82
example1,occlusion,blur,10.8235,0.1418,1.6864,0.5,82
example1,occlusion,gray,10.8235,0.1263,0.6145,0.4878,82
example1,occlusion,black,10.8235,0.5201,4.2678,0.0732,82
0f019494,occlusion,blur,15.5097,0.1619,3.9698,0.5974,77
0f019494,lime,mean,15.5097,0.2379,4.0826,0.5195,77
0f019494,occlusion,black,15.5097,0.4543,8.2724,0.1429,77
0f019494,occlusion,gray,15.5097,0.1785,3.9263,0.2208,77
0f019494,lime,gray,15.5097,0.0735,0.7619,0.4026,77
0f019494,occlusion,mean,15.5097,0.2727,5.6057,0.2857,77
0f019494,lime,black,15.5097,0.5444,8.3878,0.2597,77
0f019494,lime,blur,15.5097,0.2859,4.7538,0.2468,77
e7361205,occlusion,black,11.1821,1.4823,5.0367,0.0,78
e7361205,lime,mean,11.1821,0.1474,1.8693,0.3077,78
e7361205,occlusion,mean,11.1821,0.4426,2.7596,0.0641,78
e7361205,lime,gray,11.1821,0.058,0.6738,0.4103,78
e7361205,lime,black,11.1821,0.2788,1.8965,0.141,78
e7361205,occlusion,blur,11.1821,0.2721,2.4674,0.1026,78
e7361205,occlusion,gray,11.1821,0.6231,4.6637,0.0897,78
e7361205,lime,blur,11.1821,0.2171,1.9148,0.1538,78
047eb1a3,occlusion,gray,9.4912,0.2905,2.48,0.1818,66
047eb1a3,lime,black,9.4912,0.2973,2.1501,0.303,66
047eb1a3,occlusion,blur,9.4912,0.2043,1.9653,0.3788,66
047eb1a3,lime,mean,9.4912,0.1241,1.2024,0.2727,66
047eb1a3,occlusion,black,9.4912,1.1485,5.747,0.0758,66
047eb1a3,lime,blur,9.4912,0.1769,1.4596,0.1061,66
047eb1a3,occlusion,mean,9.4912,0.2502,2.0638,0.1818,66
047eb1a3,lime,gray,9.4912,0.1024,0.4802,0.197,66
example2,lime,gray,7.1633,0.0724,0.5682,0.3571,70
example2,lime,black,7.1633,0.2228,1.928,0.3143,70
example2,lime,blur,7.1633,0.125,1.067,0.5143,70
example2,occlusion,mean,7.1633,0.168,1.3364,0.3286,70
example2,occlusion,blur,7.1633,0.1631,1.1932,0.2857,70
example2,lime,mean,7.1633,0.1367,2.0012,0.3857,70
example2,occlusion,black,7.1633,0.6033,2.9953,0.0429,70
example2,occlusion,gray,7.1633,0.1014,0.4945,0.3429,70
d534420e,lime,black,9.579,0.4032,7.8107,0.2742,62
d534420e,lime,gray,9.579,0.045,0.9541,0.2903,62
d534420e,occlusion,gray,9.579,0.1139,1.5628,0.2258,62
d534420e,lime,blur,9.579,0.2461,5.8809,0.2419,62
d534420e,occlusion,black,9.579,0.3541,6.6677,0.2903,62
d534420e,occlusion,blur,9.579,0.2323,5.3188,0.5323,62
d534420e,lime,mean,9.579,0.2951,7.4737,0.3548,62
d534420e,occlusion,mean,9.579,0.4546,7.7632,0.0806,62
