image,mode,spearman_vs_black
66ea2468,gray,nan
66ea2468,mean,nan
66ea2468,blur,nan
66ea2468,black,nan
89b64556,gray,1.0
89b64556,mean,0.857
89b64556,blur,0.857
89b64556,black,1.0
f266ed95,gray,0.3
f266ed95,mean,0.3
f266ed95,blur,0.4
f266ed95,black,1.0
183f3c78,gray,0.886
183f3c78,mean,0.829
183f3c78,blur,0.486
183f3c78,black,1.0
38db7466,gray,0.905
38db7466,mean,0.69
38db7466,blur,0.714
38db7466,black,1.0
92c51da3,gray,0.762
92c51da3,mean,0.357
92c51da3,blur,0.429
92c51da3,black,1.0
b99bec61,gray,0.714
b99bec61,mean,1.0
b99bec61,blur,0.943
b99bec61,black,1.0
0dd86fcb,gray,0.891
0dd86fcb,mean,0.891
0dd86fcb,blur,0.83
0dd86fcb,black,1.0
7908ec90,gray,0.929
7908ec90,mean,0.929
7908ec90,blur,0.81
7908ec90,black,1.0
002210b7,gray,0.25
002210b7,mean,0.964
002210b7,blur,0.929
002210b7,black,1.0
9c35db4f,gray,0.762
9c35db4f,mean,0.667
9c35db4f,blur,0.738
9c35db4f,black,1.0
a53e4ccc,gray,1.0
a53e4ccc,mean,1.0
a53e4ccc,blur,1.0
a53e4ccc,black,1.0
dae811d1,gray,nan
dae811d1,mean,nan
dae811d1,blur,nan
dae811d1,black,nan
047eb1a3,gray,0.893
047eb1a3,mean,0.857
047eb1a3,blur,1.0
047eb1a3,black,1.0
7d26c82f,gray,0.857
7d26c82f,mean,0.929
7d26c82f,blur,0.905
7d26c82f,black,1.0
f9aeaa10,gray,0.617
f9aeaa10,mean,0.783
f9aeaa10,blur,0.783
f9aeaa10,black,1.0
0ad54dec,gray,0.783
0ad54dec,mean,0.883
0ad54dec,blur,0.8
0ad54dec,black,1.0
671140d7,gray,nan
671140d7,mean,nan
671140d7,blur,nan
671140d7,black,nan
9978f229,gray,0.842
9978f229,mean,0.867
9978f229,blur,0.867
9978f229,black,1.0
3a64ad19,gray,0.5
3a64ad19,mean,1.0
3a64ad19,blur,0.5
3a64ad19,black,1.0
b0f5e1c4,gray,0.429
b0f5e1c4,mean,1.0
b0f5e1c4,blur,0.829
b0f5e1c4,black,1.0
014fafe5,gray,0.4
014fafe5,mean,0.4
014fafe5,blur,0.8
014fafe5,black,1.0
5fcc7c2c,gray,0.8
5fcc7c2c,mean,0.933
5fcc7c2c,blur,0.967
5fcc7c2c,black,1.0
e0644a38,gray,0.7
e0644a38,mean,1.0
e0644a38,blur,0.9
e0644a38,black,1.0
9b1cb600,gray,0.7
9b1cb600,mean,0.7
9b1cb600,blur,0.1
9b1cb600,black,1.0
bc6d4f34,gray,nan
bc6d4f34,mean,nan
bc6d4f34,blur,nan
bc6d4f34,black,nan
a0eb9910,gray,0.783
a0eb9910,mean,0.967
a0eb9910,blur,0.8
a0eb9910,black,1.0
9f4bb4c7,gray,1.0
9f4bb4c7,mean,1.0
9f4bb4c7,blur,1.0
9f4bb4c7,black,1.0
6ca521c2,gray,0.833
6ca521c2,mean,0.786
6ca521c2,blur,0.786
6ca521c2,black,1.0
1d641fa8,gray,0.782
1d641fa8,mean,0.976
1d641fa8,blur,0.939
1d641fa8,black,1.0
5690f96f,gray,1.0
5690f96f,mean,1.0
5690f96f,blur,0.964
5690f96f,black,1.0
d7b6be10,gray,1.0
d7b6be10,mean,1.0
d7b6be10,blur,1.0
d7b6be10,black,1.0
91d4170f,gray,0.8
91d4170f,mean,0.8
91d4170f,blur,1.0
91d4170f,black,1.0
d977f847,gray,0.683
d977f847,mean,0.817
d977f847,blur,0.817
d977f847,black,1.0
a27a1723,gray,nan
a27a1723,mean,nan
a27a1723,blur,nan
a27a1723,black,nan
7f1e1680,gray,nan
7f1e1680,mean,nan
7f1e1680,blur,nan
7f1e1680,black,nan
73f5615f,gray,nan
73f5615f,mean,nan
73f5615f,blur,nan
73f5615f,black,nan
18bca469,gray,0.952
18bca469,mean,0.952
18bca469,blur,0.786
18bca469,black,1.0
5e5334ce,gray,nan
5e5334ce,mean,nan
5e5334ce,blur,nan
5e5334ce,black,nan
f81c7de4,gray,1.0
f81c7de4,mean,1.0
f81c7de4,blur,1.0
f81c7de4,black,1.0
5504eb69,gray,0.619
5504eb69,mean,1.0
5504eb69,blur,0.857
5504eb69,black,1.0
4cb1d9fb,gray,0.273
4cb1d9fb,mean,0.661
4cb1d9fb,blur,0.855
4cb1d9fb,black,1.0
bce06b44,gray,0.8
bce06b44,mean,0.9
bce06b44,blur,1.0
bce06b44,black,1.0
f6d77bd5,gray,0.867
f6d77bd5,mean,0.917
f6d77bd5,blur,0.917
f6d77bd5,black,1.0
5ea2567e,gray,0.85
5ea2567e,mean,0.8
5ea2567e,blur,0.533
5ea2567e,black,1.0
0bf6d055,gray,0.983
0bf6d055,mean,0.9
0bf6d055,blur,0.9
0bf6d055,black,1.0
07333fd0,gray,0.821
07333fd0,mean,0.357
07333fd0,blur,0.321
07333fd0,black,1.0
5e89d09b,gray,0.762
5e89d09b,mean,0.952
5e89d09b,blur,0.905
5e89d09b,black,1.0
14d6bb54,gray,0.455
14d6bb54,mean,0.418
14d6bb54,blur,0.321
14d6bb54,black,1.0
56130b57,gray,0.883
56130b57,mean,0.867
56130b57,blur,0.933
56130b57,black,1.0
2f466312,gray,nan
2f466312,mean,nan
2f466312,blur,nan
2f466312,black,nan
7a09cfa0,gray,0.643
7a09cfa0,mean,0.476
7a09cfa0,blur,0.714
7a09cfa0,black,1.0
0748f1b0,gray,nan
0748f1b0,mean,nan
0748f1b0,blur,nan
0748f1b0,black,nan
db4f6c51,gray,0.257
db4f6c51,mean,0.6
db4f6c51,blur,0.657
db4f6c51,black,1.0
06842ff3,gray,nan
06842ff3,mean,nan
06842ff3,blur,nan
06842ff3,black,nan
74d745bf,gray,1.0
74d745bf,mean,1.0
74d745bf,blur,1.0
74d745bf,black,1.0
a57a9e5c,gray,0.236
a57a9e5c,mean,0.697
a57a9e5c,blur,0.552
a57a9e5c,black,1.0
6d1e9865,gray,0.857
6d1e9865,mean,0.893
6d1e9865,blur,0.964
6d1e9865,black,1.0
25e406d3,gray,0.714
25e406d3,mean,0.81
25e406d3,blur,0.857
25e406d3,black,1.0
cefb4080,gray,nan
cefb4080,mean,nan
cefb4080,blur,nan
cefb4080,black,nan
c4da57ac,gray,0.679
c4da57ac,mean,0.964
c4da57ac,blur,0.893
c4da57ac,black,1.0
b998a060,gray,0.667
b998a060,mean,0.905
b998a060,blur,0.905
b998a060,black,1.0
92415a1a,gray,0.943
92415a1a,mean,0.829
92415a1a,blur,0.943
92415a1a,black,1.0
eaa351af,gray,1.0
eaa351af,mean,1.0
eaa351af,blur,1.0
eaa351af,black,1.0
cc2fbd21,gray,0.8
cc2fbd21,mean,0.867
cc2fbd21,blur,0.9
cc2fbd21,black,1.0
3040b049,gray,0.617
3040b049,mean,0.967
3040b049,blur,0.967
3040b049,black,1.0
5582d290,gray,1.0
5582d290,mean,1.0
5582d290,blur,1.0
5582d290,black,1.0
60f602ac,gray,0.5
60f602ac,mean,1.0
60f602ac,blur,1.0
60f602ac,black,1.0
927d556f,gray,1.0
927d556f,mean,1.0
927d556f,blur,1.0
927d556f,black,1.0
601dfdf2,gray,0.983
601dfdf2,mean,0.8
601dfdf2,blur,0.417
601dfdf2,black,1.0
8d11ee8a,gray,0.886
8d11ee8a,mean,0.829
8d11ee8a,blur,0.771
8d11ee8a,black,1.0
7c94b234,gray,nan
7c94b234,mean,nan
7c94b234,blur,nan
7c94b234,black,nan
647383a5,gray,0.721
647383a5,mean,0.685
647383a5,blur,0.733
647383a5,black,1.0
8b8f0909,gray,0.5
8b8f0909,mean,0.929
8b8f0909,blur,0.929
8b8f0909,black,1.0
